Number,Latency Leap,Latency Arduino,Latency Serial,Latency Total
606,1,32.9999923706,32.9999923706,-1.0
607,1,33.9999198914,33.9999198914,-1.0
608,1,32.9999923706,32.9999923706,-1.0
609,1,32.9999923706,32.9999923706,-1.0
610,1,32.9999923706,32.9999923706,-1.0
611,1,34.0001583099,34.0001583099,-1.0
612,1,32.9999923706,32.9999923706,-1.0
613,1,32.9999923706,32.9999923706,-1.0
614,1,32.9999923706,32.9999923706,-1.0
615,1,33.9999198914,33.9999198914,-1.0
616,1,32.9999923706,32.9999923706,-1.0
617,1,32.9999923706,32.9999923706,-1.0
618,1,32.9999923706,32.9999923706,-1.0
619,1,34.0001583099,34.0001583099,-1.0
620,1,32.9999923706,32.9999923706,-1.0
621,1,32.9999923706,32.9999923706,-1.0
622,1,32.9999923706,32.9999923706,-1.0
623,1,33.9999198914,33.9999198914,-1.0
624,1,32.9999923706,32.9999923706,-1.0
625,1,32.9999923706,32.9999923706,-1.0
626,1,32.9999923706,32.9999923706,-1.0
627,1,33.9999198914,33.9999198914,-1.0
628,1,32.9999923706,32.9999923706,-1.0
629,1,32.9999923706,32.9999923706,-1.0
630,1,34.0001583099,34.0001583099,-1.0
631,1,32.9999923706,32.9999923706,-1.0
632,1,33.9999198914,33.9999198914,-1.0
633,1,32.9999923706,32.9999923706,-1.0
634,1,32.9999923706,32.9999923706,-1.0
635,1,32.9999923706,32.9999923706,-1.0
636,1,34.0001583099,34.0001583099,-1.0
637,1,32.9999923706,32.9999923706,-1.0
638,1,32.9999923706,32.9999923706,-1.0
639,1,33.9999198914,33.9999198914,-1.0
640,1,32.9999923706,32.9999923706,-1.0
641,1,32.9999923706,32.9999923706,-1.0
642,1,32.9999923706,32.9999923706,-1.0
643,1,33.9999198914,33.9999198914,-1.0
644,1,32.9999923706,32.9999923706,-1.0
645,1,32.9999923706,32.9999923706,-1.0
646,1,34.0001583099,34.0001583099,-1.0
647,1,32.9999923706,32.9999923706,-1.0
648,1,32.9999923706,32.9999923706,-1.0
649,1,33.9999198914,33.9999198914,-1.0
650,1,32.9999923706,32.9999923706,-1.0
651,1,32.9999923706,32.9999923706,-1.0
652,1,32.9999923706,32.9999923706,-1.0
653,1,34.0001583099,34.0001583099,-1.0
654,1,32.9999923706,32.9999923706,-1.0
655,1,32.9999923706,32.9999923706,-1.0
656,1,33.9999198914,33.9999198914,-1.0
657,1,32.9999923706,32.9999923706,-1.0
658,1,32.9999923706,32.9999923706,-1.0
659,1,32.9999923706,32.9999923706,-1.0
660,1,33.9999198914,33.9999198914,-1.0
661,1,33.0002307892,33.0002307892,-1.0
662,1,32.9999923706,32.9999923706,-1.0
663,1,33.9999198914,33.9999198914,-1.0
664,1,32.9999923706,32.9999923706,-1.0
665,1,32.9999923706,32.9999923706,-1.0
666,1,32.0000648499,32.0000648499,-1.0
667,1,33.9999198914,33.9999198914,-1.0
668,1,32.9999923706,32.9999923706,-1.0
669,1,32.9999923706,32.9999923706,-1.0
670,1,33.9999198914,33.9999198914,-1.0
671,1,32.9999923706,32.9999923706,-1.0
672,1,32.9999923706,32.9999923706,-1.0
673,1,34.0001583099,34.0001583099,-1.0
674,1,32.9999923706,32.9999923706,-1.0
675,1,32.9999923706,32.9999923706,-1.0
676,1,33.9999198914,33.9999198914,-1.0
677,1,32.9999923706,32.9999923706,-1.0
678,1,32.9999923706,32.9999923706,-1.0
679,1,32.9999923706,32.9999923706,-1.0
680,1,34.0001583099,34.0001583099,-1.0
681,1,32.9999923706,32.9999923706,-1.0
682,1,32.9999923706,32.9999923706,-1.0
683,1,32.9999923706,32.9999923706,-1.0
684,1,33.9999198914,33.9999198914,-1.0
685,1,32.9999923706,32.9999923706,-1.0
686,1,32.9999923706,32.9999923706,-1.0
687,1,33.9999198914,33.9999198914,-1.0
688,1,32.9999923706,32.9999923706,-1.0
689,1,34.0001583099,34.0001583099,-1.0
690,1,32.9999923706,32.9999923706,-1.0
691,1,32.9999923706,32.9999923706,-1.0
692,1,33.9999198914,33.9999198914,-1.0
693,1,32.9999923706,32.9999923706,-1.0
694,1,32.9999923706,32.9999923706,-1.0
695,1,32.9999923706,32.9999923706,-1.0
696,1,34.0001583099,34.0001583099,-1.0
697,1,32.9999923706,32.9999923706,-1.0
698,1,32.9999923706,32.9999923706,-1.0
699,1,33.9999198914,33.9999198914,-1.0
700,1,32.9999923706,32.9999923706,-1.0
701,1,32.0000648499,32.0000648499,-1.0
702,1,33.9999198914,33.9999198914,-1.0
703,1,32.9999923706,32.9999923706,-1.0
704,1,32.9999923706,32.9999923706,-1.0
705,1,34.0001583099,34.0001583099,-1.0
706,1,32.9999923706,32.9999923706,-1.0
707,1,32.9999923706,32.9999923706,-1.0
708,1,33.9999198914,33.9999198914,-1.0
709,1,32.9999923706,32.9999923706,-1.0
710,1,32.9999923706,32.9999923706,-1.0
711,1,32.9999923706,32.9999923706,-1.0
712,1,33.9999198914,33.9999198914,-1.0
713,1,32.9999923706,32.9999923706,-1.0
714,1,32.9999923706,32.9999923706,-1.0
715,1,32.9999923706,32.9999923706,-1.0
716,1,34.0001583099,34.0001583099,-1.0
717,1,32.9999923706,32.9999923706,-1.0
718,1,32.9999923706,32.9999923706,-1.0
719,1,33.9999198914,33.9999198914,-1.0
720,1,34.0001583099,34.0001583099,-1.0
721,1,32.9999923706,32.9999923706,-1.0
722,1,31.9998264313,31.9998264313,-1.0
723,1,32.9999923706,32.9999923706,-1.0
724,1,34.0001583099,34.0001583099,-1.0
725,1,32.9999923706,32.9999923706,-1.0
726,1,32.9999923706,32.9999923706,-1.0
727,1,33.9999198914,33.9999198914,-1.0
728,1,32.9999923706,32.9999923706,-1.0
729,1,32.9999923706,32.9999923706,-1.0
730,1,32.9999923706,32.9999923706,-1.0
731,1,34.0001583099,34.0001583099,-1.0
732,1,32.9999923706,32.9999923706,-1.0
733,1,32.9999923706,32.9999923706,-1.0
734,1,33.9999198914,33.9999198914,-1.0
735,1,33.9999198914,33.9999198914,-1.0
736,1,32.9999923706,32.9999923706,-1.0
737,1,32.0000648499,32.0000648499,-1.0
738,1,33.9999198914,33.9999198914,-1.0
739,1,32.9999923706,32.9999923706,-1.0
740,1,32.9999923706,32.9999923706,-1.0
741,1,34.0001583099,34.0001583099,-1.0
742,1,32.9999923706,32.9999923706,-1.0
743,1,32.9999923706,32.9999923706,-1.0
744,1,32.9999923706,32.9999923706,-1.0
745,1,33.9999198914,33.9999198914,-1.0
746,1,32.9999923706,32.9999923706,-1.0
747,1,32.9999923706,32.9999923706,-1.0
748,1,34.0001583099,34.0001583099,-1.0
749,1,32.9999923706,32.9999923706,-1.0
750,1,32.9999923706,32.9999923706,-1.0
751,1,32.9999923706,32.9999923706,-1.0
752,1,33.9999198914,33.9999198914,-1.0
753,1,32.9999923706,32.9999923706,-1.0
754,1,32.9999923706,32.9999923706,-1.0
755,1,33.9999198914,33.9999198914,-1.0
756,1,32.9999923706,32.9999923706,-1.0
757,1,32.9999923706,32.9999923706,-1.0
758,1,34.0001583099,34.0001583099,-1.0
759,1,32.9999923706,32.9999923706,-1.0
760,1,32.9999923706,32.9999923706,-1.0
761,1,32.9999923706,32.9999923706,-1.0
762,1,32.9999923706,32.9999923706,-1.0
763,1,33.9999198914,33.9999198914,-1.0
764,1,32.9999923706,32.9999923706,-1.0
765,1,32.9999923706,32.9999923706,-1.0
766,1,34.0001583099,34.0001583099,-1.0
767,1,33.9999198914,33.9999198914,-1.0
768,1,32.9999923706,32.9999923706,-1.0
769,1,32.9999923706,32.9999923706,-1.0
770,1,32.9999923706,32.9999923706,-1.0
771,1,32.9999923706,32.9999923706,-1.0
772,1,32.9999923706,32.9999923706,-1.0
773,1,34.0001583099,34.0001583099,-1.0
774,1,32.9999923706,32.9999923706,-1.0
775,1,32.9999923706,32.9999923706,-1.0
776,1,33.9999198914,33.9999198914,-1.0
777,1,32.9999923706,32.9999923706,-1.0
778,1,32.9999923706,32.9999923706,-1.0
779,1,33.9999198914,33.9999198914,-1.0
780,1,32.9999923706,32.9999923706,-1.0
781,1,32.9999923706,32.9999923706,-1.0
782,1,32.9999923706,32.9999923706,-1.0
783,1,32.9999923706,32.9999923706,-1.0
784,1,32.9999923706,32.9999923706,-1.0
785,1,34.0001583099,34.0001583099,-1.0
786,1,32.9999923706,32.9999923706,-1.0
787,1,32.9999923706,32.9999923706,-1.0
788,1,33.9999198914,33.9999198914,-1.0
789,1,32.9999923706,32.9999923706,-1.0
790,1,34.0001583099,34.0001583099,-1.0
791,1,32.9999923706,32.9999923706,-1.0
792,1,32.9999923706,32.9999923706,-1.0
793,1,33.9999198914,33.9999198914,-1.0
794,1,32.0000648499,32.0000648499,-1.0
795,1,32.9999923706,33.9999198914,-7.24792480469e-05
796,1,32.9999923706,32.9999923706,-1.0
797,1,33.9999198914,33.9999198914,-1.0
798,1,32.9999923706,32.9999923706,-1.0
799,1,32.9999923706,32.9999923706,-1.0
800,1,34.0001583099,34.0001583099,-1.0
801,1,32.0000648499,32.0000648499,-1.0
802,1,33.9999198914,33.9999198914,-1.0
803,1,32.9999923706,32.9999923706,-1.0
804,1,32.9999923706,32.9999923706,-1.0
805,1,32.9999923706,32.9999923706,-1.0
806,1,33.9999198914,33.9999198914,-1.0
807,1,32.9999923706,32.9999923706,-1.0
808,1,32.9999923706,32.9999923706,-1.0
809,1,32.9999923706,32.9999923706,-1.0
810,1,34.0001583099,34.0001583099,-1.0
811,1,33.9999198914,33.9999198914,-1.0
812,1,32.9999923706,32.9999923706,-1.0
813,1,32.9999923706,32.9999923706,-1.0
814,1,33.9999198914,33.9999198914,-1.0
815,1,33.0002307892,33.0002307892,-1.0
816,1,32.9999923706,32.9999923706,-1.0
817,1,32.9999923706,32.9999923706,-1.0
818,1,33.9999198914,33.9999198914,-1.0
819,1,32.9999923706,32.9999923706,-1.0
820,1,32.9999923706,32.9999923706,-1.0
821,1,32.9999923706,32.9999923706,-1.0
822,1,33.9999198914,33.9999198914,-1.0
823,1,32.9999923706,32.9999923706,-1.0
824,1,32.9999923706,32.9999923706,-1.0
825,1,34.0001583099,34.0001583099,-1.0
826,1,32.9999923706,32.9999923706,-1.0
827,1,32.9999923706,32.9999923706,-1.0
828,1,33.9999198914,33.9999198914,-1.0
829,1,32.9999923706,32.9999923706,-1.0
830,1,32.9999923706,32.9999923706,-1.0
831,1,32.9999923706,32.9999923706,-1.0
832,1,34.0001583099,34.0001583099,-1.0
833,1,31.9998264313,31.9998264313,-1.0
834,1,34.0001583099,34.0001583099,-1.0
835,1,32.9999923706,32.9999923706,-1.0
836,1,32.9999923706,32.9999923706,-1.0
837,1,32.9999923706,32.9999923706,-1.0
838,1,33.9999198914,33.9999198914,-1.0
839,1,32.9999923706,32.9999923706,-1.0
840,1,32.9999923706,32.9999923706,-1.0
841,1,33.9999198914,33.9999198914,-1.0
842,1,32.9999923706,32.9999923706,-1.0
843,1,33.0002307892,33.0002307892,-1.0
844,1,33.9999198914,33.9999198914,-1.0
845,1,32.9999923706,32.9999923706,-1.0
846,1,32.9999923706,32.9999923706,-1.0
847,1,32.9999923706,32.9999923706,-1.0
848,1,32.9999923706,32.9999923706,-1.0
849,1,33.9999198914,33.9999198914,-1.0
850,1,32.9999923706,32.9999923706,-1.0
851,1,32.9999923706,32.9999923706,-1.0
852,1,32.9999923706,32.9999923706,-1.0
853,1,34.0001583099,34.0001583099,-1.0
854,1,33.9999198914,33.9999198914,-1.0
855,1,32.9999923706,32.9999923706,-1.0
856,1,32.9999923706,32.9999923706,-1.0
857,1,32.9999923706,32.9999923706,-1.0
858,1,34.0001583099,34.0001583099,-1.0
859,1,32.9999923706,32.9999923706,-1.0
860,1,32.9999923706,32.9999923706,-1.0
861,1,32.9999923706,32.9999923706,-1.0
862,1,33.9999198914,33.9999198914,-1.0
863,1,32.9999923706,32.9999923706,-1.0
864,1,32.9999923706,32.9999923706,-1.0
865,1,33.9999198914,33.9999198914,-1.0
866,1,32.9999923706,32.9999923706,-1.0
867,1,32.9999923706,32.9999923706,-1.0
868,1,34.0001583099,34.0001583099,-1.0
869,1,32.9999923706,32.9999923706,-1.0
870,1,32.9999923706,32.9999923706,-1.0
871,1,32.9999923706,32.9999923706,-1.0
872,1,32.9999923706,32.9999923706,-1.0
873,1,32.9999923706,32.9999923706,-1.0
874,1,33.9999198914,33.9999198914,-1.0
875,1,34.0001583099,34.0001583099,-1.0
876,1,32.9999923706,32.9999923706,-1.0
877,1,32.9999923706,32.9999923706,-1.0
878,1,32.9999923706,32.9999923706,-1.0
879,1,33.9999198914,33.9999198914,-1.0
880,1,32.9999923706,32.9999923706,-1.0
881,1,32.9999923706,32.9999923706,-1.0
882,1,32.9999923706,32.9999923706,-1.0
883,1,42.0000553131,42.0000553131,-1.0
884,1,24.9998569489,24.9998569489,-1.0
885,1,33.0002307892,33.0002307892,-1.0
886,1,33.9999198914,33.9999198914,-1.0
887,1,32.9999923706,32.9999923706,-1.0
888,1,32.9999923706,32.9999923706,-1.0
889,1,32.9999923706,32.9999923706,-1.0
890,1,33.9999198914,33.9999198914,-1.0
891,1,32.9999923706,32.9999923706,-1.0
892,1,32.9999923706,32.9999923706,-1.0
893,1,32.9999923706,32.9999923706,-1.0
894,1,34.0001583099,34.0001583099,-1.0
895,1,32.9999923706,32.9999923706,-1.0
896,1,32.9999923706,32.9999923706,-1.0
897,1,33.9999198914,33.9999198914,-1.0
898,1,32.9999923706,32.9999923706,-1.0
899,1,32.9999923706,32.9999923706,-1.0
900,1,32.9999923706,32.9999923706,-1.0
901,1,34.0001583099,34.0001583099,-1.0
902,1,32.9999923706,32.9999923706,-1.0
903,1,32.9999923706,32.9999923706,-1.0
904,1,32.9999923706,32.9999923706,-1.0
905,1,32.9999923706,32.9999923706,-1.0
906,1,33.9999198914,33.9999198914,-1.0
907,1,32.9999923706,32.9999923706,-1.0
908,1,32.9999923706,32.9999923706,-1.0
909,1,33.9999198914,33.9999198914,-1.0
910,1,32.9999923706,32.9999923706,-1.0
911,1,34.0001583099,34.0001583099,-1.0
912,1,32.9999923706,32.9999923706,-1.0
913,1,32.9999923706,32.9999923706,-1.0
914,1,32.9999923706,32.9999923706,-1.0
915,1,33.9999198914,33.9999198914,-1.0
916,1,32.0000648499,32.0000648499,-1.0
917,1,33.9999198914,33.9999198914,-1.0
918,1,34.0001583099,34.0001583099,-1.0
919,1,31.9998264313,31.9998264313,-1.0
920,1,34.0001583099,34.0001583099,-1.0
921,1,32.9999923706,32.9999923706,-1.0
922,1,33.9999198914,33.9999198914,-1.0
923,1,32.9999923706,32.9999923706,-1.0
924,1,32.9999923706,32.9999923706,-1.0
925,1,32.9999923706,32.9999923706,-1.0
926,1,33.9999198914,33.9999198914,-1.0
927,1,33.0002307892,33.0002307892,-1.0
928,1,32.9999923706,32.9999923706,-1.0
929,1,33.9999198914,33.9999198914,-1.0
930,1,32.9999923706,32.9999923706,-1.0
931,1,32.9999923706,32.9999923706,-1.0
932,1,32.9999923706,32.9999923706,-1.0
933,1,33.9999198914,33.9999198914,-1.0
934,1,32.9999923706,32.9999923706,-1.0
935,1,32.9999923706,32.9999923706,-1.0
936,1,34.0001583099,34.0001583099,-1.0
937,1,32.9999923706,32.9999923706,-1.0
938,1,32.9999923706,32.9999923706,-1.0
939,1,32.9999923706,32.9999923706,-1.0
940,1,32.9999923706,32.9999923706,-1.0
941,1,33.9999198914,33.9999198914,-1.0
942,1,32.9999923706,32.9999923706,-1.0
943,1,32.9999923706,32.9999923706,-1.0
944,1,32.9999923706,32.9999923706,-1.0
945,1,32.9999923706,32.9999923706,-1.0
946,1,34.0001583099,34.0001583099,-1.0
947,1,32.9999923706,32.9999923706,-1.0
948,1,33.9999198914,33.9999198914,-1.0
949,1,32.9999923706,32.9999923706,-1.0
950,1,32.9999923706,32.9999923706,-1.0
951,1,33.9999198914,33.9999198914,-1.0
952,1,32.9999923706,32.9999923706,-1.0
953,1,32.9999923706,32.9999923706,-1.0
954,1,33.0002307892,33.0002307892,-1.0
955,1,33.9999198914,33.9999198914,-1.0
956,1,32.9999923706,32.9999923706,-1.0
957,1,32.9999923706,32.9999923706,-1.0
958,1,32.9999923706,33.9999198914,-7.24792480469e-05
959,1,32.9999923706,32.9999923706,-1.0
960,1,32.9999923706,32.9999923706,-1.0
961,1,32.9999923706,32.9999923706,-1.0
962,1,34.0001583099,34.0001583099,-1.0
963,1,32.9999923706,32.9999923706,-1.0
964,1,32.9999923706,32.9999923706,-1.0
965,1,33.9999198914,33.9999198914,-1.0
966,1,32.9999923706,32.9999923706,-1.0
967,1,32.9999923706,32.9999923706,-1.0
968,1,32.9999923706,32.9999923706,-1.0
969,1,34.0001583099,34.0001583099,-1.0
970,1,32.9999923706,32.9999923706,-1.0
971,1,32.9999923706,32.9999923706,-1.0
972,1,33.9999198914,33.9999198914,-1.0
973,1,32.9999923706,32.9999923706,-1.0
974,1,32.9999923706,32.9999923706,-1.0
975,1,32.9999923706,32.9999923706,-1.0
976,1,33.9999198914,33.9999198914,-1.0
977,1,32.9999923706,32.9999923706,-1.0
978,1,32.9999923706,32.9999923706,-1.0
979,1,34.0001583099,34.0001583099,-1.0
980,1,32.9999923706,32.9999923706,-1.0
981,1,32.9999923706,32.9999923706,-1.0
982,1,32.9999923706,32.9999923706,-1.0
983,1,33.9999198914,33.9999198914,-1.0
984,1,32.9999923706,32.9999923706,-1.0
985,1,32.9999923706,32.9999923706,-1.0
986,1,34.0001583099,34.0001583099,-1.0
987,1,32.9999923706,32.9999923706,-1.0
988,1,32.9999923706,32.9999923706,-1.0
989,1,32.9999923706,32.9999923706,-1.0
990,1,33.9999198914,33.9999198914,-1.0
991,1,32.9999923706,32.9999923706,-1.0
992,1,32.9999923706,32.9999923706,-1.0
993,1,33.9999198914,33.9999198914,-1.0
994,1,32.9999923706,32.9999923706,-1.0
995,1,32.9999923706,32.9999923706,-1.0
996,1,32.9999923706,32.9999923706,-1.0
997,1,34.0001583099,34.0001583099,-1.0
998,1,32.0000648499,32.0000648499,-1.0
999,1,33.9999198914,33.9999198914,-1.0
1000,1,32.9999923706,32.9999923706,-1.0
1001,1,32.9999923706,32.9999923706,-1.0
1002,1,32.9999923706,32.9999923706,-1.0
1003,1,33.9999198914,33.9999198914,-1.0
1004,1,32.9999923706,32.9999923706,-1.0
1005,1,32.9999923706,32.9999923706,-1.0
1006,1,32.9999923706,32.9999923706,-1.0
1007,1,34.0001583099,34.0001583099,-1.0
1008,1,32.9999923706,32.9999923706,-1.0
1009,1,32.9999923706,32.9999923706,-1.0
1010,1,33.9999198914,33.9999198914,-1.0
1011,1,32.9999923706,32.9999923706,-1.0
1012,1,32.9999923706,32.9999923706,-1.0
1013,1,34.0001583099,34.0001583099,-1.0
1014,1,32.9999923706,32.9999923706,-1.0
1015,1,32.9999923706,32.9999923706,-1.0
1016,1,32.9999923706,32.9999923706,-1.0
1017,1,33.9999198914,33.9999198914,-1.0
1018,1,32.9999923706,32.9999923706,-1.0
1019,1,32.9999923706,32.9999923706,-1.0
1020,1,33.9999198914,33.9999198914,-1.0
1021,1,32.9999923706,32.9999923706,-1.0
1022,1,32.9999923706,32.9999923706,-1.0
1023,1,32.9999923706,32.9999923706,-1.0
1024,1,34.0001583099,34.0001583099,-1.0
1025,1,32.9999923706,32.9999923706,-1.0
1026,1,32.9999923706,32.9999923706,-1.0
1027,1,32.9999923706,32.9999923706,-1.0
1028,1,33.9999198914,33.9999198914,-1.0
1029,1,32.9999923706,32.9999923706,-1.0
1030,1,32.9999923706,32.9999923706,-1.0
1031,1,32.9999923706,32.9999923706,-1.0
1032,1,34.0001583099,34.0001583099,-1.0
1033,1,33.9999198914,33.9999198914,-1.0
1034,1,32.9999923706,32.9999923706,-1.0
1035,1,32.9999923706,32.9999923706,-1.0
1036,1,33.9999198914,33.9999198914,-1.0
1037,1,32.9999923706,32.9999923706,-1.0
1038,1,32.9999923706,32.9999923706,-1.0
1039,1,33.0002307892,33.0002307892,-1.0
1040,1,33.9999198914,33.9999198914,-1.0
1041,1,32.9999923706,32.9999923706,-1.0
1042,1,32.9999923706,32.9999923706,-1.0
1043,1,33.9999198914,33.9999198914,-1.0
1044,1,32.9999923706,32.9999923706,-1.0
1045,1,32.9999923706,32.9999923706,-1.0
1046,1,32.9999923706,32.9999923706,-1.0
1047,1,34.0001583099,34.0001583099,-1.0
1048,1,32.9999923706,32.9999923706,-1.0
1049,1,32.9999923706,32.9999923706,-1.0
1050,1,33.9999198914,33.9999198914,-1.0
1051,1,32.9999923706,32.9999923706,-1.0
1052,1,32.9999923706,32.9999923706,-1.0
1053,1,32.9999923706,32.9999923706,-1.0
1054,1,32.9999923706,32.9999923706,-1.0
1055,1,32.9999923706,32.9999923706,-1.0
1056,1,32.9999923706,32.9999923706,-1.0
1057,1,34.0001583099,34.0001583099,-1.0
1058,1,32.9999923706,32.9999923706,-1.0
1059,1,32.9999923706,32.9999923706,-1.0
1060,1,32.9999923706,32.9999923706,-1.0
1061,1,33.9999198914,33.9999198914,-1.0
1062,1,32.9999923706,32.9999923706,-1.0
1063,1,32.9999923706,32.9999923706,-1.0
1064,1,33.9999198914,33.9999198914,-1.0
1065,1,32.9999923706,32.9999923706,-1.0
1066,1,33.0002307892,33.0002307892,-1.0
1067,1,32.9999923706,32.9999923706,-1.0
1068,1,33.9999198914,33.9999198914,-1.0
1069,1,32.9999923706,32.9999923706,-1.0
1070,1,32.9999923706,32.9999923706,-1.0
1071,1,33.9999198914,33.9999198914,-1.0
1072,1,32.9999923706,32.9999923706,-1.0
1073,1,32.9999923706,32.9999923706,-1.0
1074,1,34.0001583099,34.0001583099,-1.0
1075,1,32.9999923706,32.9999923706,-1.0
1076,1,32.9999923706,32.9999923706,-1.0
1077,1,33.9999198914,33.9999198914,-1.0
1078,1,32.9999923706,32.9999923706,-1.0
1079,1,33.9999198914,33.9999198914,-1.0
1080,1,32.9999923706,32.9999923706,-1.0
1081,1,33.0002307892,33.0002307892,-1.0
1082,1,32.9999923706,32.9999923706,-1.0
1083,1,33.9999198914,33.9999198914,-1.0
1084,1,32.9999923706,32.9999923706,-1.0
1085,1,32.9999923706,32.9999923706,-1.0
1086,1,32.9999923706,32.9999923706,-1.0
1087,1,32.9999923706,32.9999923706,-1.0
1088,1,32.9999923706,32.9999923706,-1.0
1089,1,33.9999198914,33.9999198914,-1.0
1090,1,32.9999923706,32.9999923706,-1.0
1091,1,32.9999923706,32.9999923706,-1.0
1092,1,34.0001583099,34.0001583099,-1.0
1093,1,32.9999923706,32.9999923706,-1.0
1094,1,32.9999923706,32.9999923706,-1.0
1095,1,33.9999198914,33.9999198914,-1.0
1096,1,32.9999923706,32.9999923706,-1.0
1097,1,32.9999923706,32.9999923706,-1.0
1098,1,34.0001583099,34.0001583099,-1.0
1099,1,32.9999923706,32.9999923706,-1.0
1100,1,32.9999923706,32.9999923706,-1.0
1101,1,33.9999198914,33.9999198914,-1.0
1102,1,32.9999923706,32.9999923706,-1.0
1103,1,32.9999923706,32.9999923706,-1.0
1104,1,33.9999198914,33.9999198914,-1.0
1105,1,32.0000648499,32.0000648499,-1.0
1106,1,33.9999198914,33.9999198914,-1.0
1107,1,32.9999923706,32.9999923706,-1.0
1108,1,33.0002307892,33.0002307892,-1.0
1109,1,32.9999923706,32.9999923706,-1.0
1110,1,33.9999198914,33.9999198914,-1.0
1111,1,32.9999923706,32.9999923706,-1.0
1112,1,33.9999198914,33.9999198914,-1.0
1113,1,32.9999923706,32.9999923706,-1.0
1114,1,32.9999923706,32.9999923706,-1.0
1115,1,34.0001583099,34.0001583099,-1.0
1116,1,32.9999923706,32.9999923706,-1.0
1117,1,32.9999923706,32.9999923706,-1.0
1118,1,32.9999923706,32.9999923706,-1.0
1119,1,33.9999198914,33.9999198914,-1.0
1120,1,32.9999923706,32.9999923706,-1.0
1121,1,32.9999923706,32.9999923706,-1.0
1122,1,33.9999198914,33.9999198914,-1.0
1123,1,33.0002307892,33.0002307892,-1.0
1124,1,32.9999923706,32.9999923706,-1.0
1125,1,32.9999923706,32.9999923706,-1.0
1126,1,32.9999923706,32.9999923706,-1.0
1127,1,33.9999198914,33.9999198914,-1.0
1128,1,32.9999923706,32.9999923706,-1.0
1129,1,32.9999923706,32.9999923706,-1.0
1130,1,32.9999923706,32.9999923706,-1.0
1131,1,33.9999198914,33.9999198914,-1.0
1132,1,32.9999923706,32.9999923706,-1.0
1133,1,32.9999923706,32.9999923706,-1.0
1134,1,34.0001583099,34.0001583099,-1.0
1135,1,32.9999923706,32.9999923706,-1.0
1136,1,32.9999923706,32.9999923706,-1.0
1137,1,32.9999923706,32.9999923706,-1.0
1138,1,33.9999198914,33.9999198914,-1.0
1139,1,32.9999923706,32.9999923706,-1.0
1140,1,32.9999923706,32.9999923706,-1.0
1141,1,32.9999923706,32.9999923706,-1.0
1142,1,34.0001583099,34.0001583099,-1.0
1143,1,32.9999923706,32.9999923706,-1.0
1144,1,32.9999923706,32.9999923706,-1.0
1145,1,33.9999198914,33.9999198914,-1.0
1146,1,32.9999923706,32.9999923706,-1.0
1147,1,32.9999923706,32.9999923706,-1.0
1148,1,32.9999923706,32.9999923706,-1.0
1149,1,33.9999198914,33.9999198914,-1.0
1150,1,32.9999923706,32.9999923706,-1.0
1151,1,33.0002307892,33.0002307892,-1.0
1152,1,32.9999923706,32.9999923706,-1.0
1153,1,33.9999198914,33.9999198914,-1.0
1154,1,32.9999923706,32.9999923706,-1.0
1155,1,32.9999923706,32.9999923706,-1.0
1156,1,33.9999198914,33.9999198914,-1.0
1157,1,32.9999923706,32.9999923706,-1.0
1158,1,32.9999923706,32.9999923706,-1.0
1159,1,32.9999923706,32.9999923706,-1.0
1160,1,34.0001583099,34.0001583099,-1.0
1161,1,32.9999923706,32.9999923706,-1.0
1162,1,32.9999923706,32.9999923706,-1.0
1163,1,33.9999198914,33.9999198914,-1.0
1164,1,32.9999923706,32.9999923706,-1.0
1165,1,32.9999923706,32.9999923706,-1.0
1166,1,32.9999923706,32.9999923706,-1.0
1167,1,32.9999923706,32.9999923706,-1.0
1168,1,34.0001583099,34.0001583099,-1.0
1169,1,32.9999923706,32.9999923706,-1.0
1170,1,32.9999923706,32.9999923706,-1.0
1171,1,32.9999923706,32.9999923706,-1.0
1172,1,33.9999198914,33.9999198914,-1.0
1173,1,32.9999923706,32.9999923706,-1.0
1174,1,32.9999923706,32.9999923706,-1.0
1175,1,33.9999198914,33.9999198914,-1.0
1176,1,32.9999923706,32.9999923706,-1.0
1177,1,32.9999923706,32.9999923706,-1.0
1178,1,34.0001583099,34.0001583099,-1.0
1179,1,32.9999923706,32.9999923706,-1.0
1180,1,32.9999923706,32.9999923706,-1.0
1181,1,33.9999198914,33.9999198914,-1.0
1182,1,32.9999923706,32.9999923706,-1.0
1183,1,32.9999923706,32.9999923706,-1.0
1184,1,32.9999923706,32.9999923706,-1.0
1185,1,34.0001583099,34.0001583099,-1.0
1186,1,32.9999923706,32.9999923706,-1.0
1187,1,32.9999923706,32.9999923706,-1.0
1188,1,32.9999923706,32.9999923706,-1.0
1189,1,32.9999923706,32.9999923706,-1.0
1190,1,33.9999198914,33.9999198914,-1.0
1191,1,32.9999923706,32.9999923706,-1.0
1192,1,32.9999923706,32.9999923706,-1.0
1193,1,34.0001583099,34.0001583099,-1.0
1194,1,32.9999923706,32.9999923706,-1.0
1195,1,32.9999923706,32.9999923706,-1.0
1196,1,33.9999198914,33.9999198914,-1.0
1197,1,32.9999923706,32.9999923706,-1.0
1198,1,32.9999923706,32.9999923706,-1.0
1199,1,32.9999923706,32.9999923706,-1.0
1200,1,33.9999198914,33.9999198914,-1.0
1201,1,32.9999923706,32.9999923706,-1.0
1202,1,32.9999923706,32.9999923706,-1.0
